Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,17,0.21784408069729172
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,18,0.2054642827799737
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,19,0.1853228369632165
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,20,0.2042857142857143
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,21,0.22475167953900932
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,22,0.17428535930869532
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,23,0.1628384010688237
NSGAIIc,Multi Objective Integer Encoding Biclustering,EP,24,0.19595357250826945
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,0,0.058601363413273155
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,1,0.05886985059086908
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,2,0.1088850480114838
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,3,0.0630089972451704
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,4,0.07016051674475382
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,5,0.09992976783102392
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,6,0.06130244771455562
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,7,0.06543320823349807
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,8,0.06095782121961707
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,9,0.064675637407487
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,10,0.056428571428571495
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,11,0.08299296096817516
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,12,0.0959627665492761
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,13,0.0867460343195412
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,14,0.10110885300434624
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,15,0.10381352662006038
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,16,0.08636557989180965
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,17,0.10518841423420267
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,18,0.1198010067005627
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,19,0.07926529112039948
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,20,0.08932169253506278
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,21,0.07505499147204314
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,22,0.0952011137901893
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,23,0.09449072680729109
NSGAIId,Multi Objective Integer Encoding Biclustering,EP,24,0.08629751171096312
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,0,0.6092410852625169
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,1,0.6608627037432604
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,2,0.6167468282372908
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,3,0.6136550309936817
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,4,0.5394956161910311
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,5,0.6417409124900361
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,6,0.6082213291631255
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,7,0.6916159676605556
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,8,0.5908402242019444
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,9,0.629202231066072
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,10,0.6985321788426889
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,11,0.7163286672583723
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,12,0.6114982631517581
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,13,0.6444246090350366
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,14,0.6764888531942368
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,15,0.6153548762770936
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,16,0.6232421036882543
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,17,0.6679935100183106
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,18,0.5848726418220608
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,19,0.6538790562935958
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,20,0.6788324020035136
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,21,0.7015574254747762
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,22,0.6361878044351995
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,23,0.6728903120372857
NSGAIIa,Multi Objective Integer Encoding Biclustering,SP,24,0.6672195765887997
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,0,0.6927569453901632
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,1,0.6601630851136129
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,2,0.6400112816840492
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,3,0.6673422680728105
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,4,0.619583271164719
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,5,0.6804994192945224
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,6,0.6360290296779324
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,7,0.6991887427833349
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,8,0.6851098998193987
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,9,0.6809445351567732
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,10,0.6465117086749776
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,11,0.7043523026697444
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,12,0.6616135133521341
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,13,0.6034296475742974
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,14,0.620058102052012
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,15,0.637005345606396
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,16,0.6342340107988333
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,17,0.6415209652505326
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,18,0.5948970000762714
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,19,0.62706319782219
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,20,0.595634676456579
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,21,0.6658185940388024
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,22,0.6767943281394954
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,23,0.7086959156583831
NSGAIIb,Multi Objective Integer Encoding Biclustering,SP,24,0.6322388825527876
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,0,0.3454204228744242
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,1,0.44830051518638236
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,2,0.4829668201539075
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,3,0.38364243764612294
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,4,0.5115765287971599
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,5,0.47547424033605784
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,6,0.40617505642157437
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,7,0.40442059064057106
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,8,0.5415514409431131
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,9,0.43942209333620774
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,10,0.2918798394053711
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,11,0.548607425771819
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,12,0.4076691704955438
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,13,0.40064314938851736
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,14,0.4354183719138464
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,15,0.5181232531183841
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,16,0.6074701303350791
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,17,0.35736716549106856
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,18,0.6007913724283009
