Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 2 3 4 5 6 7 9 10 11 15 17 18 20 22 23 24 25 26 27 29 31 32 33 34 35 36 37 40 41 42 43 44 45 46 48 49 51 52 53 55 56 60 62 63 65 66 67 68 69 71 72 73 74 75 76 77 78 79 80 83 84 85 87 88 89 91 93 94 99 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
	Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 2 3 4 5 6 8 10 13 14 15 16 20 21 24 25 27 30 32 34 35 36 38 39 40 41 42 43 45 46 48 49 50 53 54 57 58 59 60 61 62 65 67 69 72 76 77 78 79 82 83 84 85 86 88 89 90 91 92 94 97 98 99 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 2 3 5 6 7 8 9 13 14 15 16 18 19 23 24 26 27 28 29 30 31 33 34 37 38 39 40 41 42 43 44 46 47 48 49 51 52 54 55 56 57 59 61 62 63 64 65 67 68 69 71 72 73 74 75 77 79 80 82 84 87 89 90 91 92 93 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
	Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 3 4 5 7 8 9 10 12 14 15 17 18 20 22 24 26 27 37 38 39 40 44 45 47 50 51 52 53 54 55 56 58 59 63 64 65 67 68 69 71 72 73 74 75 76 77 78 79 81 82 88 89 93 95 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 5 7 8 9 10 11 13 17 18 19 20 22 23 24 26 27 28 30 32 34 35 37 39 40 41 42 43 44 45 48 49 50 51 53 54 57 58 63 65 66 67 68 69 71 72 73 75 76 77 79 80 81 82 83 85 87 89 90 91 92 93 94 95 96 97 98 99 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
	Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 4 5 6 7 8 9 10 11 12 13 15 16 17 20 21 24 25 26 28 29 30 31 32 33 35 38 39 42 43 46 49 51 52 53 54 55 56 57 58 60 61 62 63 64 65 68 70 72 73 75 76 77 80 81 83 84 90 91 93 94 95 96 97 98 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 2 3 4 5 6 8 11 12 13 13 14 15 16 17 17 18 19 20 21 23 23 25 28 29 29 31 32 32 35 37 38 40 42 45 47 50 59 66 72 81 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
