Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5182725131, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5720611904, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5571168540, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6148099353, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5419435603, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5842932369, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5921205179, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5684150316, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5843260931, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5694750866, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5930717588, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5987489662, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5634205438, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.6120215207, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5654731229, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5902573986, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5979305228, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6076275756, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5948903319, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6367931348, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6428451659, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6236044757, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.6523875437, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5928302309, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6158506161, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6036564755, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6296302465, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7184866926, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6752738908, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7105293162, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6655372919, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.6635970483, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6232566633, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6672175839, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7011925845, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6732412744, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6689865262, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7183501873, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6912325531, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7407985512, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7434929023, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5244549603, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6680760534, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7236278518, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7177115791, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7242444716, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7585579711, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7325880736, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7651925125, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8621655476, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5895031611, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5834838573, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5855205479, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6101849745, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6211981757, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7408409216, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6247140021, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6592921283, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5891720622, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6306616330, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6468805024, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6625584602, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6379848690, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7053886242, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.8223920847, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6959715871, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6538541639, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7981217869, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6934397970, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.7275312647, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.7292116349, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.7321665491, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7619033322, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7286813074, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7762969553, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7328097439, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7513548833, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5363492283, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5423525989, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5145378809, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5647934656, mutationProbability=0.100}
