Hyperparameter tuning for integer encoding with data /home/khaosdev/jMetalJava/jMetal/resources/fabia_100x1000.csv
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5392564111, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5496549211, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5512233740, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5638053936, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5377265233, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5684337272, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5339897215, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5496385790, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5596694194, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5807259372, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5867843927, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5684049686, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5670061003, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5752424085, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5901315135, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5591526811, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5486318640, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5594090126, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5647358444, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5802531434, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5982596375, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5675371735, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5773589721, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5905274861, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4791721521, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6876534245, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6690558636, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5878365927, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6642659035, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7989225916, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7322761071, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7922365086, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.6856870004, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5114787200, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5606011209, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6775026887, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6704201625, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7307893777, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.8495632429, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7058362803, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6933232695, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8202692023, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4217141924, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5597394164, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5971996759, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6966254468, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7842226057, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7157958694, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7492027678, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7390554303, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8046972913, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5552354219, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5303464819, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5250360146, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5441225869, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5440670645, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5569301899, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5302820227, mutationProbability=0.010}
