Hyperparameter tuning for binary encoding with data /home/khaosdev/jMetalJava/jMetal/resources/fabia_100x100.csv
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.4512774285, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.4611795661, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.4584867483, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.4532234134, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.4546855452, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.4572463235, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4291768697, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.4474682840, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.4675136595, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.4601533686, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.4587237267, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.4802858530, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.4587893152, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.4849989953, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.4801804225, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4540618564, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.4662739473, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.4847344179, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.4876073415, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5001182212, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5143718517, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.4995584043, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5053624921, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5067879558, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.5218082796, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.4839819918, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4922523890, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.5029354723, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.5238153434, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.5415097149, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.5798696267, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.5168426172, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.5539572090, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.5863097633, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.6009258491, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.4774327263, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.5664739884, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.5722543353, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.5664739884, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.5780346821, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.3473664366, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.2657523946, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.5302789194, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.5327475449, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.5049871496, mutationProbability=0.010}
